"slice","n","pc1_explained","pc1_democratic_quality","pc1_rule_of_law","pc1_freedom_rights","pc1_corruption_control"
"pooled","2270.0000000000","0.8729159404","0.5046492145","0.5109675258","0.4919748606","0.4921403198"
"between_country","178.0000000000","0.8812753250","0.5057337089","0.5100675946","0.4918471387","0.4920882612"
"within_country","2270.0000000000","0.5253661673","0.4985581969","0.5430322877","0.4964381856","0.4583718869"
"first_differences","2083.0000000000","0.3589810171","0.5267846988","0.5848318672","0.4456275546","0.4264805399"
"year_2012","172.0000000000","0.8631261585","0.5053380478","0.5111340880","0.4914773386","0.4917574883"
"year_2013","173.0000000000","0.8661849761","0.5051641871","0.5107271799","0.4915796849","0.4922563409"
"year_2014","171.0000000000","0.8712609676","0.5033922208","0.5113165754","0.4935157474","0.4915219617"
"year_2015","165.0000000000","0.8664206403","0.5041100818","0.5129800455","0.4921024759","0.4904688079"
"year_2016","173.0000000000","0.8740907138","0.5037426680","0.5102709847","0.4913808363","0.4943801374"
"year_2017","177.0000000000","0.8731920568","0.5040322275","0.5112835614","0.4924512586","0.4919678763"
"year_2018","177.0000000000","0.8707706199","0.5063335796","0.5107481356","0.4894858730","0.4931188785"
"year_2019","177.0000000000","0.8730794463","0.5067293646","0.5119325805","0.4894455127","0.4915215908"
"year_2020","177.0000000000","0.8734841257","0.5055353469","0.5127052539","0.4914175793","0.4899756099"
"year_2021","177.0000000000","0.8804732575","0.5041017665","0.5120663128","0.4927507487","0.4907812139"
"year_2022","177.0000000000","0.8804128087","0.5040424316","0.5093519303","0.4927508234","0.4936582464"
"year_2023","177.0000000000","0.8829891716","0.5043018629","0.5076483963","0.4933800627","0.4945188071"
"year_2024","177.0000000000","0.8792606447","0.5037814403","0.5095083282","0.4938273704","0.4926865658"
"time_2012-2016","854.0000000000","0.8681039298","0.5043430280","0.5112739944","0.4920101288","0.4921006462"
"time_2017-2020","708.0000000000","0.8725517293","0.5056600573","0.5116656037","0.4907011246","0.4916488815"
"time_2021-2024","708.0000000000","0.8807409998","0.5040477677","0.5096442369","0.4931911136","0.4929108694"
"region_Africa","695.0000000000","0.8596062801","0.4969624274","0.5127704573","0.5026164686","0.4873104650"
"region_Asia","614.0000000000","0.7451122019","0.5018879252","0.5222349139","0.4918791254","0.4831502160"
"region_Europe","507.0000000000","0.8793466517","0.5089825486","0.5170946782","0.4804438582","0.4926698266"
"region_North America","251.0000000000","0.8691161589","0.4973178307","0.5192344740","0.4955594142","0.4873308971"
"region_Oceania","47.0000000000","0.9192545850","0.4945368946","0.5122807218","0.5033067303","0.4895753846"
"region_South America","156.0000000000","0.9077338505","0.4959627862","0.5153327519","0.4988764651","0.4894643421"
"regime_civilian_dictatorship","806.0000000000","0.7677878659","0.4944587924","0.5223722248","0.4988706890","0.4834933267"
"regime_parliamentary_democracy","542.0000000000","0.8539568659","0.5002870904","0.5172630542","0.4816608309","0.5001545801"
"regime_presidential_democracy","592.0000000000","0.8668215009","0.4981685103","0.5108908153","0.4845901842","0.5059555944"
"regime_royal_dictatorship","135.0000000000","0.5076481701","0.4281070069","0.6294997929","0.3283303545","0.5591543434"
"regime_semi_presidential_democracy","130.0000000000","0.9107848035","0.5041890515","0.5029343053","0.4846688863","0.5078843919"
