"artifact_id","role","analysis_class","bytes","sha256","path"
"panel-manifest","panel","not_an_analysis","2236","f9f83964c34693cc17944e418818f0092c2a03f158f32e5e3adddfa50bfe0c84","data/releases/ci-research-panel-2000-2024-v3/manifest.v3.json"
"preregistered-protocol","protocol","not_an_analysis","793","3a831c23cbc3a01d3b292da429f4d662c10e8225afd341222b4633e2c894f31a","plan/research/index-tournament-preregistration-v3.md"
"panel-coverage","panel","not_an_analysis","721","3134aa8aa70c102dd3421ae396fbb6777d646fb02630588cdc1cadddb3ef9a94","data/releases/ci-research-panel-2000-2024-v3/coverage.v3.json"
"baselines","baseline","not_an_analysis","2302","b33e849ec082e8042a90b274aabdb4b694342d2aa5ce44ad1a9317b4ea129cce","data/releases/ci-index-baselines-v3/manifest.v3.json"
"k0","candidate","not_an_analysis","1849","6bd51fcef1c3729aedc07b5dbcfc9c40161b03223b3e023e52e74c2fb8eee251","plan/evidence/IDX-031/README.md"
"k1","candidate","not_an_analysis","3343","0e6c24d58dc59710deebe47fadbeb4c12e2879440cfad9137628653cfa994e5b","data/releases/k1-current-composite-tournament-v1/manifest.v1.json"
"k2","candidate","not_an_analysis","1287","3b355c2491a31321b9bfd2c92ea501991110f295271d32b3fdc486dd7b623e35","data/releases/k2-concordance-prototype-v1/manifest.v1.json"
"k3","candidate","not_an_analysis","1061","a630c639941b009d56fc84674d31ac32baca52cbced631b3d623d2a79c65519d","data/releases/k3-power-transfer-ledger-prototype-v1/manifest.v1.json"
"k4","candidate","not_an_analysis","1110","9ac2e28a6ae8061cd31e1d0dd70148069e803a33bbc3e9597917f5ed44da3bb0","data/releases/k4-constitution-practice-pairings-2024-v1/manifest.v1.json"
"k5","candidate","not_an_analysis","1804","f45cbe8a1c612a0583080fb5dfcacc36974698e158572df1543f2bdf216481cb","data/releases/k5-institutional-relation-candidates-v1/manifest.v1.json"
"evaluation-suite","result","confirmatory","7005","e52bf0dc6c3a12489f19098a2842113b54c6c61c93488d177129d8a22868c09e","data/releases/index-tournament-evaluation-suite-v1/manifest.v1.json"
"dimensionality","result","confirmatory","36589","da3e54a515814e829287abb2600f52edd0eb02daf5920b1ebe2cc3aa63801e9f","data/releases/index-dimensionality-analysis-v1/result.v1.json"
"dimensionality-table","table","confirmatory","3512","d5d2ec2279a4affd063cfe4caccf2c76f7f345b5bbd05a15975807485506b381","data/releases/index-dimensionality-analysis-v1/table.v1.csv"
"dimensionality-figure","figure","confirmatory","1699","7dafa5b35f0e99e105e349cf295a936f4b5dda51d8d149ca1e3f7d82ddb4de35","data/releases/index-dimensionality-analysis-v1/pc1-level-comparison.v1.svg"
"validity","result","confirmatory","4629","4ecc0c9a985d4eee07911136ec031d511d288fd0b0d961ed4aef358951ba4e9e","data/releases/index-validity-analysis-v1/result.v1.json"
"longitudinal","result","confirmatory","4941","fbca344ee15d3039010732a00a820c7e76b0726c8a812f9dc2419d88250423fd","data/releases/index-longitudinal-analysis-v1/result.v1.json"
"out-of-sample","result","confirmatory","4681","279d8379df018d59345b747375e62b1d5787dbeef6c43b7800e2ffb58c8623af","data/releases/index-oos-validation-v1/result.v1.json"
"uncertainty-inputs","result","confirmatory","3002","15e2fa5ec8fa00bbdfcf10fe93ae9d49d79c666dce9418dd7fc15e10bce9fb99","data/releases/ci-k1-uncertainty-inputs-2024-v2/manifest.v1.json"
"sensitivity","result","confirmatory","13052","5d6676552e34e12bd3b75ab7f514ac508557e692c6fa7582bbcd08911f5b4f39","data/releases/index-sensitivity-analysis-v1/result.v1.json"
"source-dependence","result","confirmatory","9061","b34ff36c5e82f4b50fa71eb3f349ef0224848a3fb1141aef9e4fb86e64ffa14f","data/releases/index-source-dependence-v1/result.v1.json"
"subgroup-fairness","result","confirmatory","14679","1108c521d1fa6131fc379c6f3b60132eae5a77e0c97c33582b09694643e18a30","data/releases/index-subgroup-fairness-v1/result.v1.json"
"misuse-audit","result","confirmatory","6722","983e9b38f283b3b9503dbb70946fc70f9a2105f322f92c67be6387737d403e83","data/releases/index-misuse-audit-v1/result.v1.json"
