v2paid,country_text_id,v2paenname,v2paorname,v2pashname,aliases,year,v2pariglef,v2pariglef_ord,v2xpa_antiplural,v2xpa_popul
2298,AGO,People's Movement for the Liberation of Angola – Labour Party,,MPLA,MPLA | MPLA-PT | Movimento Popular de Libertação de Angola | Movimento Popular de Libertação de Angola – Partido do Trabalho | Movimento Popular de Libertação de Angola — Partido do Trabalho | People's Movement for the Liberation of Angola | People's Movement for the Liberation of Angola – Labour Party | People's Movement for the Liberation of Angola — Labour Party | Popular Liberation Movement of Angola-Labor Party | Popular Movement for the Liberation of Angola,2017,-0.007,3.0,0.386,0.508
2343,AGO,National Union for the Total Independence of Angola,,UNITA,National Union fo rthe Total Independence of Angola | National Union for the Total Independence of Angola | UNITA | Uni?o Nacional para a Independ?ncia Total de Angola | União Nacional para a Independência Total de Angola,2017,0.718,4.0,0.388,0.85
3556,AGO,Broad Convergence for the Salvation of Angola – Electoral Coalition,,CASA-CE,Broad Convergence for the Salvation of Angola | Broad Convergence for the Salvation of Angola – Electoral Coalition | Broad Convergence for the Salvation of Angola — Electoral Coalition | Broad Convergence for the Salvation of Angola-Electoral Coalition | CASA — CE | CASA-CE | Convergência Ampla de Salvação de Angola — Coligação Eleitoral | Convergência Ampla de Salvação de Angola-Coligação Eleitoral,2017,0.488,3.0,0.169,0.73
190,ALB,Democratic Party of Albania,,PDS,Democratic Party | Democratic Party of Albania | NA | PD | PDS | Partia Demokrate | Partia Demokratike | Partia Demokratike e Shqipërisë | Partia Demokratike e Shqipërisë (PD) | Social Democracy Party of Albania,2017,1.216,4.0,0.47,0.528
674,ALB,Albanian National Front Party,,BKS,Albanian National Front Party | BK | BKS | Balli Kombëtar | DBSH | E Djatha e Bashkuar e Shqipërisë | NF | National Front | PBK | Partia Balli Kombëtar Shqiptar | United Albanian Right,1996,1.355,4.0,0.671,0.067
819,ALB,Republican Party of Albania,,PRS,Albanian Republican Party | NA | PR | PRS | PRSH | Partia Republikane | Partia Republikane Shqiptare | Partia Republikane e Shqipërisë | Partia Republikane e Shqipërisë (PR) | Republican | Republican Party | Republican Party of Albania | The Republican Party,2013,1.367,4.0,0.485,0.136
838,ALB,Social Democratic Party of Albania,,PSD,NA | PDSSH | PSD | PSDS | Partia Demokracia Sociale e Shqiperisë | Partia Social Demokrate | Partia Socialdemokrate e Shqipërisë | Partia Socialdemokrate e Shqipërisë (PSD) | Partia Socialdemokrate ë Shqipërisë | Social Democracy Party of Albania | Social Democrat Party | Social Democratic Party | Social Democratic Party of Albania | Social Democratic Union Party | The Social Democrat Party | USDS,2005,-0.539,2.0,0.35,0.23
840,ALB,Agrarian Party,,PA,Agrarian Party | Agrarian Party / Environmentalist Agrarian Party | Agrarian Party of Albania | Environmentalist Agrarian Party | PA | PAA | PASH | Partia Agrare | Partia Agrare / Partia Agrare Ambientaliste | Partia Agrare Ambientaliste | Partia Agrare e Shqipërisë,2005,0.048,3.0,0.263,0.167
1558,ALB,New Democratic Party,,PDR,New Democratic Party | PDR | PDr | Partia Demokrate e Re | Reformed Democrat Party,2005,0.685,4.0,0.327,0.092
1729,ALB,Socialist Party of Albania,,PSS,Albanian Socialist Party | NA | PS | PSS | PSSH | Partia Socialiste | Partia Socialiste e Shqipërisë | Partia Socialiste e Shqipërisë (PS) | Socialist | Socialist Party | Socialist Party of Albania,2017,-0.548,2.0,0.469,0.065
